platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
0,28,4,1,17,15,1,7,1,2,74,69,69.51773049645391,71.83333333333333
1,5,35,6,6,6,0,37,20,3,74,76,67.22970297029703,71.65544554455445
1,3,35,5,26,17,1,108,43,26,74,76,67.53865979381443,71.60309278350516
1,2,5,3,20,14,0,127,46,21,74,75,66.5807150595883,71.39869989165764
1,29,0,3,20,14,0,30,51,40,74,58,66.78947368421052,72.84210526315789
1,2,35,2,9,8,0,15,12,2,74,77,66.5807150595883,71.39869989165764
1,3,35,6,7,0,1,3,6,1,74,70,67.53865979381443,71.60309278350516
1,3,35,3,7,7,0,16,13,5,73,73,67.53865979381443,71.60309278350516
1,2,35,6,8,7,0,1,0,0,73,66,66.5807150595883,71.39869989165764
1,3,0,2,6,5,0,0,1,0,73,69,67.53865979381443,71.60309278350516
1,5,35,6,5,5,0,4,0,0,73,78,67.22970297029703,71.65544554455445
1,2,35,3,28,20,1,59,35,16,73,73,66.5807150595883,71.39869989165764
0,44,35,1,19,24,0,3,4,0,73,69,59.140969162995596,72.21585903083701
1,2,35,6,6,1,1,5,11,4,72,71,66.5807150595883,71.39869989165764
1,2,0,6,27,26,0,170,28,7,72,82,66.5807150595883,71.39869989165764
1,2,35,6,5,3,0,9,7,1,72,73,66.5807150595883,71.39869989165764
1,38,13,5,13,13,1,53,23,31,72,68,70.26510067114094,73.19127516778524
1,5,35,5,17,9,1,10,3,2,72,77,67.22970297029703,71.65544554455445
1,38,9,5,16,20,1,36,38,106,72,47,70.26510067114094,73.19127516778524
1,14,35,5,10,9,0,26,22,39,72,57,65.53086419753086,70.22222222222223
1,44,35,1,6,4,1,1,2,3,72,40,59.140969162995596,72.21585903083701
0,43,35,1,13,27,0,4,1,1,71,71,63.71052631578947,68.73684210526316
1,3,35,1,12,9,2,3,3,0,71,59,67.53865979381443,71.60309278350516
0,43,35,1,14,29,0,4,1,0,71,71,63.71052631578947,68.73684210526316
0,43,35,1,13,29,0,8,6,0,71,73,63.71052631578947,68.73684210526316
0,2,35,5,4,8,0,1,2,1,71,69,66.5807150595883,71.39869989165764
0,3,14,2,2,5,0,1,2,1,71,68,67.53865979381443,71.60309278350516
1,2,35,3,10,13,2,42,9,9,71,76,66.5807150595883,71.39869989165764
0,3,0,2,7,8,1,5,4,1,71,71,67.53865979381443,71.60309278350516
0,2,35,5,15,20,2,5,0,0,71,78,66.5807150595883,71.39869989165764
1,5,35,5,7,6,1,4,1,1,71,77,67.22970297029703,71.65544554455445
0,43,35,1,24,40,0,23,15,2,71,72,63.71052631578947,68.73684210526316
1,3,35,4,6,10,1,2,2,1,71,61,67.53865979381443,71.60309278350516
1,2,35,6,4,7,0,1,0,0,70,75,66.5807150595883,71.39869989165764
1,45,35,2,17,27,0,29,12,36,70,57,67.4431554524362,71.97679814385151
1,2,35,6,11,11,0,46,16,12,70,67,66.5807150595883,71.39869989165764
1,43,35,5,6,4,0,7,2,2,70,67,63.71052631578947,68.73684210526316
1,43,14,1,10,9,1,17,4,8,70,77,63.71052631578947,68.73684210526316
1,2,5,5,17,19,2,135,62,80,70,60,66.5807150595883,71.39869989165764
1,43,0,5,9,12,1,4,2,3,70,37,63.71052631578947,68.73684210526316
