english,publisher,required_age,achievements,average_playtime,median_playtime,porcentage_positivas,windows,mac,linux,Multi-player,Online,Single-player,Anti-Cheat,Indie,Casual,price
1,6446,0,0,0,0,78.55,1,0,0,0,0,1,0,0,0,7.19
1,6446,0,0,111,111,77.04,1,0,0,0,0,1,0,0,0,6.99
1,6446,0,0,771,771,71.55,1,0,0,0,0,1,0,0,0,6.99
1,2995,0,37,491,232,94.73,1,1,1,0,0,1,0,0,0,6.99
1,133,0,0,49,64,91.53,1,1,0,1,0,1,0,0,0,9.99
1,133,0,0,1166,13,86.42,1,0,0,1,0,1,0,0,0,2.99
1,133,0,0,296,436,93.19,1,0,0,0,0,1,0,0,0,5.99
1,133,0,0,0,0,44.32,1,0,0,1,0,1,0,0,0,2.99
1,133,0,0,0,0,73.9,1,0,0,0,0,1,0,0,0,5.99
1,133,0,0,0,0,85.82,1,1,0,0,0,1,0,0,0,2.99
1,11199,0,29,12422,1875,95.68,1,1,1,1,0,1,1,0,0,6.99
1,3993,0,0,0,0,44.44,1,0,0,0,0,1,0,0,0,5.99
1,9493,0,0,0,0,73.46,1,0,0,1,0,1,0,0,0,25.99
1,9493,0,0,0,0,66.67,1,0,0,1,0,1,0,0,0,3.99
1,7117,0,0,78,78,75.44,1,0,0,0,0,1,0,1,0,5.99
1,3802,0,0,0,0,61.29,1,0,0,0,0,1,0,0,0,7.99
1,3802,0,0,0,0,65.25,1,0,0,0,0,1,0,0,0,6.99
1,3802,0,0,0,0,64.58,1,0,0,1,0,1,0,0,0,7.99
1,4078,0,0,493,360,95.09,1,0,0,1,0,1,0,0,0,9.99
1,10244,0,0,124,244,63.86,1,0,0,1,0,1,0,0,0,7.99
1,10244,0,0,1,1,66.67,1,0,0,1,0,1,0,0,0,4.99
1,9066,16,0,309,340,94.42,1,0,0,1,0,1,0,0,0,9.99
1,9066,16,0,543,620,95.54,1,0,0,1,0,1,0,0,0,9.99
1,9066,18,0,312,312,84.9,1,0,0,0,0,1,0,0,0,9.99
1,9066,0,0,897,1192,93.28,1,0,0,1,0,1,0,0,0,8.99
